ip.src,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed,Satus
10.18.20.97,8.208.24.139,80,40,0.000492,1
10.18.20.97,8.208.24.139,80,40,0.000479,1
10.18.20.97,8.208.24.139,80,40,0.000468,1
10.18.20.97,8.208.24.139,80,40,0.000444,1
10.18.20.97,8.208.24.139,80,40,0.000435,1
10.18.20.97,8.208.24.139,80,40,0.000434,1
10.18.20.97,8.208.24.139,80,40,0.00043,1
10.18.20.97,8.208.24.139,80,40,0.000422,1
10.18.20.97,8.208.24.139,80,40,0.000419,1
10.18.20.97,8.208.24.139,80,40,0.000419,1
10.18.20.97,8.208.24.139,80,40,0.000413,1
10.18.20.97,8.208.24.139,80,40,0.000408,1
10.18.20.97,8.208.24.139,80,40,0.000395,1
10.18.20.97,8.208.24.139,80,40,0.000385,1
10.18.20.97,8.208.24.139,80,40,0.000383,1
10.18.20.97,8.208.24.139,80,40,0.000383,1
10.18.20.97,8.208.24.139,80,40,0.000379,1
10.18.20.97,8.208.24.139,80,40,0.000377,1
10.18.20.97,8.208.24.139,80,40,0.000348,1
10.18.20.97,8.208.24.139,80,40,0.000336,1
10.18.20.97,8.208.24.139,80,40,0.000335,1
10.18.20.97,8.208.24.139,80,40,0.000314,1
10.18.20.97,8.208.24.139,80,40,0.000309,1
10.18.20.97,8.208.24.139,80,40,0.000293,1
10.18.20.97,8.208.24.139,80,40,0.000292,1
10.18.20.97,8.208.24.139,80,40,0.000283,1
10.18.20.97,8.208.24.139,80,40,0.000256,1
10.18.20.97,8.208.24.139,80,40,0.000248,1
10.18.20.97,8.208.24.139,80,40,0.00024,1
10.18.20.97,8.208.24.139,80,40,0.000235,1
10.18.20.97,8.208.24.139,80,40,0.000232,1
10.18.20.97,8.208.24.139,80,40,0.000219,1
10.18.20.97,8.208.24.139,80,40,0.000213,1
10.18.20.97,8.208.24.139,80,40,0.000205,1
10.18.20.97,8.208.24.139,80,40,0.000195,1
10.18.20.97,8.208.24.139,80,40,0.00019,1
10.18.20.97,8.208.24.139,80,40,0.00019,1
10.18.20.97,8.208.24.139,80,40,0.000186,1
10.18.20.97,8.208.24.139,80,40,0.000184,1
10.18.20.97,8.208.24.139,80,40,0.000179,1
10.18.20.97,8.208.24.139,80,40,0.000161,1
10.18.20.97,8.208.24.139,80,40,0.000145,1
10.18.20.97,8.208.24.139,80,40,0.000144,1
10.18.20.97,8.208.24.139,80,40,0.000143,1
10.18.20.97,8.208.24.139,80,40,0.000113,1
10.18.20.97,8.208.24.139,80,40,0.00011,1
10.18.20.97,8.208.24.139,80,40,0.000109,1
10.18.20.97,8.208.24.139,80,40,0.000102,1
10.18.20.97,8.208.24.139,80,40,7.5E-05,1
10.18.20.97,8.208.24.139,80,40,7.2E-05,1
10.18.20.97,8.208.24.139,80,244,0.000276,1
10.18.20.97,8.208.24.139,80,240,0.016388,1
10.18.20.97,8.208.24.139,80,240,0.008354,1
10.18.20.97,8.208.24.139,80,165,0.000176,1
10.18.20.97,8.208.24.139,80,1500,0.000203,1
10.18.20.97,8.208.24.139,80,1500,0.000202,1
10.18.20.97,8.208.24.139,80,1500,0.000183,1
10.18.20.97,8.208.24.139,80,1500,0.000123,1
10.18.20.97,8.208.24.139,80,1500,9.4E-05,1
10.18.20.97,8.208.24.139,80,1500,1.1E-05,1
10.18.20.97,8.208.24.139,80,1500,9E-06,1
10.18.20.97,8.208.24.139,80,1500,7E-06,1
10.18.20.97,8.208.24.139,80,1500,6E-06,1
10.18.20.97,8.208.24.139,80,1500,6E-06,1
10.18.20.97,8.208.24.139,80,1500,5E-06,1
10.18.20.97,8.208.24.139,80,1500,4E-06,1
10.18.20.97,8.208.24.139,80,1500,4E-06,1
10.18.20.97,8.208.24.139,80,1500,4E-06,1
10.18.20.97,8.208.24.139,80,1500,4E-06,1
10.18.20.97,8.208.24.139,80,1277,1E-05,1
10.18.20.97,69.147.64.34,80,52,2.820984,0
10.18.20.97,69.147.64.34,80,52,0,0
10.18.20.97,69.147.64.34,80,40,83.757001,0
10.18.20.97,69.147.64.34,80,40,0.124098,0
10.18.20.97,69.147.64.34,80,40,0.122693,0
10.18.20.97,69.147.64.34,80,40,0.085322,0
10.18.20.97,69.147.64.34,80,40,0.082714,0
10.18.20.97,69.147.64.34,80,40,0.010317,0
10.18.20.97,69.147.64.34,80,40,0.000194,0
10.18.20.97,69.147.64.34,80,287,0.008056,0
10.18.20.97,204.79.197.200,80,52,130.430852,0
10.18.20.97,204.79.197.200,80,52,6.7E-05,0
10.18.20.97,204.79.197.200,80,40,45.03232,0
10.18.20.97,204.79.197.200,80,40,0.112853,0
10.18.20.97,204.79.197.200,80,40,0.092183,0
10.18.20.97,204.79.197.200,80,40,0.000122,0
10.18.20.97,204.79.197.200,80,40,4.9E-05,0
10.18.20.97,204.79.197.200,80,260,0.000343,0
10.18.20.97,198.70.69.154,80,52,0.513215,0
10.18.20.97,198.70.69.154,80,52,0.000653,0
10.18.20.97,198.70.69.154,80,40,21.829639,0
10.18.20.97,198.70.69.154,80,40,0.368421,0
10.18.20.97,198.70.69.154,80,40,0.255638,0
10.18.20.97,198.70.69.154,80,40,0.010561,0
10.18.20.97,198.70.69.154,80,40,9.2E-05,0
10.18.20.97,198.70.69.154,80,40,8.6E-05,0
10.18.20.97,198.70.69.154,80,254,0.221705,0
10.18.20.97,198.70.69.154,80,254,0.000923,0
10.18.20.97,198.70.69.154,80,254,0.000134,0
10.18.20.97,198.70.69.154,80,254,6.8E-05,0
10.18.20.97,104.69.23.209,80,52,31.911322,0
10.18.20.97,104.69.23.209,80,52,0.007104,0
10.18.20.97,104.69.23.209,80,420,0.000174,0
10.18.20.97,104.69.23.209,80,40,62.832238,0
10.18.20.97,104.69.23.209,80,40,0.245668,0
10.18.20.97,104.69.23.209,80,40,0.201631,0
10.18.20.97,104.69.23.209,80,40,0.176752,0
10.18.20.97,104.69.23.209,80,40,0.000133,0
10.18.20.97,104.69.23.209,80,40,3.8E-05,0
