ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.094967000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.094105000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.077194000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.063683000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.055162000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.019093000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.016334000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.004971000
10.6.12.203,191.232.139.2,191.232.139.2,443,40,0.003685000
10.6.12.203,191.232.139.2,191.232.139.2,443,288,0.000536000
10.6.12.203,191.232.139.2,191.232.139.2,443,257,0.000188000
10.6.12.203,191.232.139.2,191.232.139.2,443,257,0.000155000
10.6.12.203,191.232.139.2,191.232.139.2,443,256,0.001456000
10.6.12.203,191.232.139.2,191.232.139.2,443,1500,0.000273000
10.6.12.203,191.232.139.2,191.232.139.2,443,1500,0.000244000
10.6.12.203,191.232.139.2,191.232.139.2,443,1500,0.000010000
10.6.12.203,191.232.139.2,191.232.139.2,443,1500,0.000010000
10.6.12.203,191.232.139.2,191.232.139.2,443,1500,0.000006000
10.6.12.203,191.232.139.2,191.232.139.2,443,1500,0.000006000
10.6.12.203,191.232.139.2,191.232.139.2,443,1348,0.000005000
10.6.12.203,191.232.139.2,191.232.139.2,443,133,0.013607000
10.6.12.203,191.232.139.2,191.232.139.2,443,133,0.002270000
10.6.12.203,191.232.139.2,191.232.139.2,443,127,0.102169000
10.6.12.203,191.232.139.2,191.232.139.2,443,127,0.013851000
10.6.12.203,13.88.28.53,13.88.28.53,443,794,0.000007000
10.6.12.203,13.88.28.53,13.88.28.53,443,52,7.786926000
10.6.12.203,13.88.28.53,13.88.28.53,443,52,66.358678000
10.6.12.203,13.88.28.53,13.88.28.53,443,478,0.000050000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,45.950418000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.556868000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.150576000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.145191000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.144870000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.142818000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.140996000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.140426000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.139207000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.137854000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.136116000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.133249000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.132901000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.062698000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.006815000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.001543000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.001180000
10.6.12.203,13.88.28.53,13.88.28.53,443,40,0.000863000
10.6.12.203,13.88.28.53,13.88.28.53,443,260,0.000296000
10.6.12.203,13.88.28.53,13.88.28.53,443,228,0.001296000
10.6.12.203,13.88.28.53,13.88.28.53,443,1500,0.000282000
10.6.12.203,13.88.28.53,13.88.28.53,443,1500,0.000132000
10.6.12.203,13.88.28.53,13.88.28.53,443,1500,0.000014000
10.6.12.203,13.88.28.53,13.88.28.53,443,1500,0.000007000
10.6.12.203,13.88.28.53,13.88.28.53,443,1500,0.000006000
10.6.12.203,13.88.28.53,13.88.28.53,443,1500,0.000006000
10.6.12.203,13.88.28.53,13.88.28.53,443,1500,0.000006000
10.6.12.203,13.88.28.53,13.88.28.53,443,133,0.004096000
10.6.12.203,13.88.28.53,13.88.28.53,443,133,0.001151000
10.6.12.203,13.88.28.53,13.88.28.53,443,1273,0.001011000
10.6.12.203,13.88.28.53,13.88.28.53,443,1048,0.001106000
10.6.12.203,13.107.4.254,13.107.4.254,443,78,0.003202000
10.6.12.203,13.107.4.254,13.107.4.254,443,52,0.032658000
10.6.12.203,13.107.4.254,13.107.4.254,443,40,0.045854000
10.6.12.203,13.107.4.254,13.107.4.254,443,40,0.037532000
10.6.12.203,13.107.4.254,13.107.4.254,443,40,0.011849000
10.6.12.203,13.107.4.254,13.107.4.254,443,40,0.006553000
10.6.12.203,13.107.4.254,13.107.4.254,443,243,0.002880000
10.6.12.203,13.107.4.254,13.107.4.254,443,198,0.005756000
10.6.12.203,13.107.4.254,13.107.4.254,443,127,0.005678000
10.6.12.203,13.107.42.23,13.107.42.23,443,769,0.093615000
10.6.12.203,13.107.42.23,13.107.42.23,443,52,8.456572000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.148788000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.078536000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.076877000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.037112000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.001389000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.001254000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.000709000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.000361000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.000348000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.000276000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.000195000
10.6.12.203,13.107.42.23,13.107.42.23,443,40,0.000139000
10.6.12.203,13.107.42.23,13.107.42.23,443,228,0.004979000
10.6.12.203,13.107.42.23,13.107.42.23,443,198,0.003824000
10.6.12.203,13.107.246.10,13.107.246.10,443,78,0.000072000
10.6.12.203,13.107.246.10,13.107.246.10,443,52,18.409638000
10.6.12.203,13.107.246.10,13.107.246.10,443,40,0.083798000
10.6.12.203,13.107.246.10,13.107.246.10,443,40,0.077303000
10.6.12.203,13.107.246.10,13.107.246.10,443,40,0.067498000
10.6.12.203,13.107.246.10,13.107.246.10,443,40,0.063454000
10.6.12.203,13.107.246.10,13.107.246.10,443,40,0.025216000
10.6.12.203,13.107.246.10,13.107.246.10,443,40,0.002795000
10.6.12.203,13.107.246.10,13.107.246.10,443,40,0.000042000
10.6.12.203,13.107.246.10,13.107.246.10,443,276,0.000106000
10.6.12.203,13.107.246.10,13.107.246.10,443,248,0.000845000
10.6.12.203,13.107.246.10,13.107.246.10,443,198,0.005059000
10.6.12.203,13.107.246.10,13.107.246.10,443,1446,0.000171000
10.6.12.203,13.107.246.10,13.107.246.10,443,127,0.042939000
10.6.12.203,13.107.21.200,13.107.21.200,443,78,0.013435000
10.6.12.203,13.107.21.200,13.107.21.200,443,780,0.036601000
10.6.12.203,13.107.21.200,13.107.21.200,443,78,0.000174000
10.6.12.203,13.107.21.200,13.107.21.200,443,739,0.000275000
10.6.12.203,13.107.21.200,13.107.21.200,443,646,0.400947000
10.6.12.203,13.107.21.200,13.107.21.200,443,52,2.229677000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.088561000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.084578000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.048177000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.027483000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.022558000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.008613000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.000457000
10.6.12.203,13.107.21.200,13.107.21.200,443,40,0.000118000
10.6.12.203,13.107.21.200,13.107.21.200,443,238,0.024130000
10.6.12.203,13.107.21.200,13.107.21.200,443,198,0.021841000
10.6.12.203,13.107.21.200,13.107.21.200,443,127,0.021148000
10.6.12.157,52.179.224.121,52.179.224.121,443,52,76.369079000
10.6.12.157,52.179.224.121,52.179.224.121,443,52,0.916440000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.141338000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.137618000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.103559000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.097052000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.064548000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.051406000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.044836000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.008124000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.001991000
10.6.12.157,52.179.224.121,52.179.224.121,443,40,0.001292000
10.6.12.157,52.179.224.121,52.179.224.121,443,388,0.094781000
10.6.12.157,52.179.224.121,52.179.224.121,443,388,0.000293000
10.6.12.157,52.179.224.121,52.179.224.121,443,287,0.000382000
